"","name","number","start.freq","end.freq"
"260","Silver Spring Metro/Colesville Rd & Wayne Ave",32012,4816,4514
"261","Traville Gateway Dr & Gudelsky Dr",32005,484,493
"262","Washington & Independence Ave SW/HHS",31272,82289,90892
"263","10th & Florida Ave NW",31120,33988,32025
"264","14th & Belmont St NW",31119,75865,68805
"265","31st & Woodrow St S",31072,1716,530
"266","3rd & Tingey St SE",31634,46823,58203
"267","47th & Elm St",32021,5023,4507
"268","Arlington Blvd & Fillmore St",31070,5536,6052
"269","Battery Ln & Trolley Trail",32027,5908,5620
"270","Broschart & Blackwell Rd",32030,141,128
"271","Calvert St & Woodley Pl NW",31121,87620,80771
"272","Carroll & Ethan Allen Ave",32026,10424,9530
"273","Carroll & Westmoreland Ave",32025,7548,5252
"274","Connecticut Ave & Tilden St NW",31313,15031,11179
"275","Crabbs Branch Way & Calhoun Pl",32020,1524,1601
"276","Crabbs Branch Way & Redland Rd",32015,338,394
"277","Deanwood Rec Center",31711,556,644
"278","Dennis & Amherst Ave",32022,1068,915
"279","East West Hwy & Blair Mill Rd",32019,5478,4115
"280","Fallsgrove Dr & W Montgomery Ave",32016,937,912
"281","Fenton St & Ellsworth Dr ",32036,5377,5383
"282","Fenton St & Gist Ave",32024,5493,4322
"283","Fleet St & Ritchie Pkwy",32032,1144,1415
"284","Friendship Blvd & Willard Ave",32040,4767,4533
"285","Georgia Ave & Spring St",32035,2450,2026
"286","Hains Point/Buckeye & Ohio Dr SW",31273,23100,24209
"287","King Farm Blvd & Piccard Dr",32038,3299,2679
"288","King Farm Blvd & Pleasant Dr",32037,2309,2620
"289","Long Bridge Park/Long Bridge Dr & 6th St S",31071,4151,4598
"290","Monroe St & Monroe Pl",32017,997,1114
"291","Montgomery Ave & Waverly St ",32003,4279,2864
"292","Montgomery College/W Campus Dr & Mannakee St",32023,1432,1570
"293","Nannie Helen Burroughs Ave & 49th St NE",31710,726,902
"294","Needwood Rd & Eagles Head Ct",32018,656,635
"295","New Jersey Ave & N St NW/Dunbar HS",31636,43107,39675
"296","Norfolk & Rugby Ave",32028,3359,2854
"297","North Capitol St & G Pl NE",31637,39563,39416
"298","Offutt Ln & Chevy Chase Dr",32029,5489,4947
"299","Old Georgetown Rd & Southwick St",32039,3813,2566
"300","Piccard & W Gude Dr",32033,891,1128
"301","Potomac Ave & 8th St SE",31635,13701,14183
"302","Ripley & Bonifant St",32034,4884,3250
"303","Taft St & E Gude Dr",32031,405,462
"304","TJ Cmty Ctr / 2nd St & S Old Glebe Rd",31074,5099,5612
"305","Washington Blvd & Walter Reed Dr ",31073,5454,5708
"306","1st & H St NW",31638,38409,39398
"307","Fort Totten Metro",31515,5087,3727
"308","Medical Center Dr & Key West Ave",32041,889,904
"309","Rhode Island Ave Metro",31516,14287,14213
"310","Rockville Metro East",32044,1572,1591
"311","Rolfe St & 9th St S",31075,2125,1813
"312","Shady Grove Hospital",32042,328,311
"313","Shirlington Transit Center / S Quincy & Randolph St",31076,2761,3907
"314","Takoma Metro",31408,25397,20805
"315","Veterans Pl & Pershing Dr ",32043,2024,2091
"316","Bethesda Metro",32048,14655,9376
"317","Iwo Jima Memorial/N Meade & 14th St N",31077,33548,39578
"318","River Rd & Landy Ln",32046,9524,9322
"319","Rockville Metro West",32047,1922,1744
"320","Shady Grove Metro West",32045,4377,4017
"321","10th & G St NW",31274,41077,47623
"322","34th & Water St NW",31314,38089,54110
"323","6th & S Ball St",31090,3181,3694
"324","Arlington Blvd & S George Mason Dr/NFATC",31078,5382,4509
"325","Ballenger Ave & Dulaney St",31084,11161,9794
"326","Court House Metro / 15th & N Uhle St ",31089,32902,24144
"327","Duke St & John Carlyle St",31081,5788,4963
"328","Eisenhower Ave & Mill Race Ln",31082,4461,4485
"329","Lee Hwy & N Cleveland St",31079,10806,8558
"330","Lee Hwy & N Scott St",31080,14052,12472
"331","Monroe Ave & Leslie Ave",31087,6535,7041
"332","Mount Vernon Ave & E Del Ray Ave",31086,7563,9524
"333","Mount Vernon Ave & E Nelson Ave",31085,6460,6488
"334","Mount Vernon Ave & Kennedy St",31088,5729,6826
"335","New Hampshire Ave & 24th St NW",31275,56095,60267
"336","Potomac Greens Dr & Slaters Ln",31083,7900,8545
"337","Washington Adventist U / Flower Ave & Division St",32049,1840,2399
"338","15th & L St NW",31276,48999,48886
"339","17th & G St NW",31277,73580,78067
"340","18th & R St NW",31278,65536,67235
"341","21st St N & N Pierce St",31093,8191,4526
"342","Lee Hwy & N Monroe St",31092,3159,2853
"343","McKinley St & Connecticut Ave NW",31315,6446,5226
"344","S Joyce & 16th St S",31091,8033,7164
"345","Spring St & Second Ave",32050,1501,1098
"346","Union Market/6th St & Neal Pl NE",31517,22334,22420
"347","19th & G St NW",31279,31419,30197
"348","Lee Hwy & N Kirkwood Rd",31094,3163,4841
"349","11th & S St NW",31280,35021,34957
"350","2nd & G St NE",31639,33103,34940
"351","Army Navy Dr & S Nash St",31095,2123,1258
"352","S Walter Reed Dr & 8th St S",31096,2193,2234
"353","8th & O St NW",31281,60417,62116
"354","Georgia & Missouri Ave NW",31411,3414,2440
"355","Oklahoma Ave & D St NE",31712,8058,9654
"356","Maryland Ave & E St NE",31640,21519,20085
"357","New York Ave & Hecht Ave NE",31518,7356,7641
"358","16th & Irving St NW",31122,18572,10739
"359","16th & R St NW",31282,24551,25257
"360","Connecticut Ave & Chevy Chase Lake Dr",32051,1857,1881
"361","Key West Ave & Siesta Key Way",32052,347,335
"362","King St Metro North / Cameron St",31098,7181,8408
"363","Lee Hwy & N Woodstock St",31900,1990,1167
"364","Madison & N Henry St",31099,3403,2583
"365","Medical Center Metro ",32053,2512,1821
"366","Saint Asaph & Madison St",31097,6299,7094
"367","Washington Blvd & N Frederick St",31901,1488,1238
"368","Wilson Blvd & N Illinois St ",31902,2249,2344
"369","Wisconsin Ave & Ingomar St NW",31317,3254,2233
"370","Yuma St & Tenley Circle NW",31316,3259,945
"371","10th St & L'Enfant Plaza SW",31287,10773,9023
"372","11th & O St NW",31286,23941,22918
"373","14th & Girard St NW",31123,17775,7585
"374","14th & L St NW",31283,24553,23229
"375","17th St & Independence Ave SW",31290,43821,43931
"376","18th & C St NW",31284,14017,13947
"377","1st & O St NW",31519,19352,18384
"378","22nd & P ST NW",31285,24635,26476
"379","2nd St & Massachusetts Ave NE",31641,29434,28623
"380","4th St & Madison Dr NW",31288,56014,56016
"381","Commonwealth & E Monroe Ave",31913,1904,1957
"382","Commonwealth Ave & Oak St",31906,1650,1775
"383","Connecticut Ave & Yuma St NW",31318,5031,4595
