"","tract","name","number","start.freq","end.freq","lat","lng","state","number.of.households","avg.household.size","percent.disability","percent.veterans","number.of.children","percent.children","number.enrolled.in.school","percent.schooling.no.diploma","percent.schooling.hs.graduate","percent.schooling.some.college","percent.schooling.associates","percent.schooling.bachelors","percent.schooling.graduate.or.professional","percent.hs.or.higher","percent.bachelor.or.higher","percent.in.labor.force","number.commuting.to.work","percent.commute.car.alone","percent.commute.car.carpool","percent.commute.public.transit","percent.commute.walking","percent.commute.other.means","mean.travel.time.work","percent.income.less10k","percent.income.10k.15k","percent.income.15k.25k","percent.income.25k.35k","percent.income.35k.50k","percent.income.50k.75k","percent.income.75k.100k","percent.income.100k.150k","percent.income.150k.200k","percent.income.greater200k","median.income","mean.income","percent.families.below.poverty.line","percent.moved.2015.later","percent.moved.2010.2014","percent.moved.2000.2009","percent.moved.1990.1999","percent.moved.1980.1989","percent.moved.1979.earlier","percent.female","percent.race.black","percent.race.american.indian","percent.race.asian","percent.race.pacific.islander","percent.race.other","percent.race.two","percent.race.white"
"456","1400000US51059482203","Town Center Pkwy & Sunset Hills Rd",32224,161,104,38.9538494,-77.3629095,"VA","2330","1.68","11.7","6.7","522","13.3","362","1.0","9.0","7.0","4.8","43.1","33.1","97.0","76.2","66.4","2402","82.7","0.1","4.5","3.7","0.9","26.1","3.8","3.1","2.7","2.4","1.4","4.8","16.4","23.9","17.0","24.4","134667","164710","0.0","11.5","57.7","26.6","4.2","0.0","0.0","55.0","3.7","0.0","12.5","0.0","0.2","1.8","81.8"
"457","1400000US51059482203","Reston Regional Library",32211,71,77,38.9614475,-77.3585531,"VA","2330","1.68","11.7","6.7","522","13.3","362","1.0","9.0","7.0","4.8","43.1","33.1","97.0","76.2","66.4","2402","82.7","0.1","4.5","3.7","0.9","26.1","3.8","3.1","2.7","2.4","1.4","4.8","16.4","23.9","17.0","24.4","134667","164710","0.0","11.5","57.7","26.6","4.2","0.0","0.0","55.0","3.7","0.0","12.5","0.0","0.2","1.8","81.8"
"458","1400000US51510200702","Eisenhower Ave & Mill Race Ln",31082,4461,4485,38.8010181,-77.068697,"VA","2564","1.70","4.8","10.5","217","5.0","360","1.1","5.1","9.4","1.9","31.0","51.5","98.8","82.5","81.2","3653","31.0","5.1","47.4","12.7","0.0","31.0","1.9","0.0","2.9","3.5","4.6","10.4","11.4","30.3","15.5","19.5","111875","129346","1.9","12.6","60.7","24.5","2.2","0.0","0.0","46.1","10.0","0.0","8.6","0.0","0.3","4.0","77.0"
"459","1400000US51510200702","Ballenger Ave & Dulaney St",31084,11161,9794,38.8025955,-77.063438,"VA","2564","1.70","4.8","10.5","217","5.0","360","1.1","5.1","9.4","1.9","31.0","51.5","98.8","82.5","81.2","3653","31.0","5.1","47.4","12.7","0.0","31.0","1.9","0.0","2.9","3.5","4.6","10.4","11.4","30.3","15.5","19.5","111875","129346","1.9","12.6","60.7","24.5","2.2","0.0","0.0","46.1","10.0","0.0","8.6","0.0","0.3","4.0","77.0"
"460","1400000US51510200703","Franklin & S Washington St",31907,3507,3998,38.7981918,-77.0506235,"VA","1655","1.92","5.3","10.1","663","20.8","458","1.9","6.7","9.7","1.2","32.4","47.1","97.0","79.4","81.6","2024","53.3","11.7","18.8","7.5","4.3","30.3","1.9","4.0","7.0","3.9","5.7","12.9","11.8","19.9","16.1","16.7","104688","123333","12.0","3.6","48.8","28.1","14.3","2.8","2.4","51.2","24.1","0.6","1.5","0.0","1.4","4.0","68.4"
"461","1400000US51510200703","Lee Center",31914,1602,1772,38.797063,-77.0536882,"VA","1655","1.92","5.3","10.1","663","20.8","458","1.9","6.7","9.7","1.2","32.4","47.1","97.0","79.4","81.6","2024","53.3","11.7","18.8","7.5","4.3","30.3","1.9","4.0","7.0","3.9","5.7","12.9","11.8","19.9","16.1","16.7","104688","123333","12.0","3.6","48.8","28.1","14.3","2.8","2.4","51.2","24.1","0.6","1.5","0.0","1.4","4.0","68.4"
"462","1400000US51510200900","Radford & Osage St",31908,981,687,38.8283028,-77.0861074,"VA","1867","2.68","6.1","10.7","1479","29.6","1344","1.1","5.7","7.3","1.9","32.7","50.0","97.6","82.7","70.4","2743","67.0","10.0","9.0","1.0","3.8","28.1","1.1","1.1","1.0","0.0","1.7","6.2","10.0","22.3","14.1","42.5","164712","230092","1.5","5.0","24.6","30.7","21.4","6.0","12.3","51.2","6.2","0.0","1.4","0.0","1.3","3.3","87.7"
"463","1400000US51510201202","Mount Vernon Ave & Kennedy St",31088,5729,6826,38.8329284,-77.0598924,"VA","1268","2.33","4.0","6.6","706","23.9","544","0.7","5.7","8.7","3.3","37.5","43.3","98.6","80.8","86.5","2084","56.9","10.9","16.8","0.7","5.0","32.3","0.5","2.7","5.0","0.3","4.2","11.5","11.9","22.1","15.3","26.5","131667","154507","0.0","6.2","40.9","29.1","14.8","2.4","6.5","53.5","8.7","0.4","5.4","0.0","0.0","4.0","81.5"
"464","1400000US51510201203","Mount Vernon Ave & Bruce St",31912,695,983,38.8412583,-77.0632949,"VA","2669","3.07","5.5","3.9","2239","27.4","1657","12.0","16.4","12.0","1.9","14.9","17.4","62.5","32.3","78.8","4718","36.3","18.5","30.8","2.8","7.3","33.6","8.3","2.1","9.5","15.6","12.8","18.0","13.2","10.2","5.6","4.8","51571","69944","27.6","9.5","53.8","31.2","3.9","0.9","0.8","49.3","13.6","0.0","4.2","0.0","22.3","3.2","56.8"
"465","1400000US51510201203","Mount Vernon Ave & Four Mile Run Park",31909,2052,2200,38.8428888,-77.0639507,"VA","2669","3.07","5.5","3.9","2239","27.4","1657","12.0","16.4","12.0","1.9","14.9","17.4","62.5","32.3","78.8","4718","36.3","18.5","30.8","2.8","7.3","33.6","8.3","2.1","9.5","15.6","12.8","18.0","13.2","10.2","5.6","4.8","51571","69944","27.6","9.5","53.8","31.2","3.9","0.9","0.8","49.3","13.6","0.0","4.2","0.0","22.3","3.2","56.8"
